profession_id,contract_type,name,office_latitude,office_longitude
5,INTERNSHIP,Bras droit de la fondatrice,48.885247,2.3566441
31,FULL_TIME,"[Louis Vuitton North America] Team Manager, RTW - NYC",40.7630463,-73.973527
8,FULL_TIME,"Director, Operations Criteo Predictive Search",34.0522342,-118.2436849
17,FULL_TIME,3 Ingénieurs SI télécoms - H/F,48.8941822,2.2071125
31,INTERNSHIP,[Parfums Christian Dior] STAGE CONSEILLER(E) DE VENTE SINOPHONE (F/H),48.8758928,2.3007863
8,APPRENTICESHIP,[Sephora SA] Alternance - Assistant(e) de direction Digital (H/F),48.8661039,2.305791
8,TEMPORARY,[Louis Vuitton Malletier] CDD - Conseiller de vente (H/F) - Lille,48.8661039,2.305791
2,FULL_TIME,Account-Based Marketing Specialist Asia,1.352083,103.819836
2,FULL_TIME,Director of Network Deployment,32.7766642,-96.7969879
2,FULL_TIME,Pre-Sales Support - LATAM,19.4326077,-99.133208
1,FULL_TIME,"Software Craftsman (H/F, Maroc)",33.9952405,-6.8489701
7,APPRENTICESHIP,[Christian Dior Couture] Alternance - Assistant(e) Développement Communications & Attentions Clients,48.8664383,2.3068733
,INTERNSHIP,Candidature spontanée: STAGE,45.7360395,4.8360923